code,countryName,iso3
1,"Afghanistan",AFG
2,"Aland Islands",ALA
3,"Albania",ALB
4,"Algeria",DZA
5,"American Samoa",ASM
6,"Andorra",AND
7,"Angola",AGO
8,"Anguillaal",AIA
9,"Antarctica",ATA
10,"Antigua and Barbuda",ATG
11,"Argentina",ARG
12,"Armenia",ARM
13,"Aruba",ABW
14,"Ascension Island",ASC
15,"Australia",AUS
16,"Austria",AUT
17,"Azerbaijan",AZE
18,"Bahamas",BHS
19,"Bahrain",BHR
20,"Bangladesh",BGD
21,"Barbados",BRB
22,"Belarus",BLR
23,"Belgium",BEL
24,"Belize",BLZ
25,"Benin",BEN
26,"Bermuda",BMU
27,"Bhutan",BTN
28,"Bolivia",BOL
29,"Bosnia and Herzegovina",BIH
30,"Botswana",BWA
31,"Bouvet Island",BVT
32,"Brazil",BRA
33,"British Indian Ocean Territory",IOT
34,"Brunei Darussalam",BRN
35,"Bulgaria",BGR
36,"Burkina Faso",BFA
37,"Burundi",BDI
38,"Cambodia",KHM
39,"Cameroon",CMR
40,"Canada",CAN
41,"Cape Verde",CPV
42,"Cayman Islands",CYM
43,"Central African Republic",CAF
44,"Chad",TCD
45,"Chile",CHL
46,"China",CHN
47,"Christmas Island",CXR
48,"Cocos (Keeling) Islands",CCK
49,"Colombia",COL
50,"Comoros",COM
51,"Congo, Republic of",COG
52,"Congo, The Democratic Republic of the",COD
53,"Cook Islands",COK
54,"Costa Rica",CRI
55,"Cote d'Ivoire",CIV
56,"Croatia/Hrvatska",HRV
57,"Cuba",CUB
58,"Cyprus",CYP
59,"Czech Republic",CZE
60,"Denmark",DNK
61,"Djibouti",DJI
62,"Dominica",DMA
63,"Dominican Republic",DOM
64,"East Timor",TMP
65,"Ecuador",ECU
66,"Egypt",EGY
67,"El Salvador",SLV
68,"Equatorial Guinea",GNQ
69,"Eritrea",ERI
70,"Estonia",EST
71,"Ethiopia",ETH
72,"European Union",NA
73,"Falkland Islands (Malvinas)",FLK
74,"Faroe Islands",FRO
75,"Fiji",FJI
76,"Finland",FIN
77,"France",FRA
78,"French Guiana",GUF
79,"French Polynesia",PYF
80,"French Southern Territories",ATF
81,"Gabon",GAB
82,"Gambia",GMB
83,"Georgia",GEO
84,"Germany",DEU
85,"Ghana",GHA
86,"Gibraltar",GIB
87,"Greece",GRC
88,"Greenland",GRL
89,"Grenada",GRD
90,"Guadeloupe",GLP
91,"Guam",GUM
92,"Guatemala",GTM
93,"Guernsey",GGY
94,"Guinea",GIN
95,"Guinea-Bissau",GNB
96,"Guyana",GUY
97,"Haiti",HTI
98,"Heard and McDonald Islands",HMD
99,"Holy See (Vatican City State)",VAT
100,"Honduras",HND
101,"Hong Kong",HKG
102,"Hungary",HUN
103,"Iceland",ISL
104,"India",IND
105,"Indonesia",IDN
106,"Iran, Islamic Republic of",IRN
107,"Iraq",IRQ
108,"Ireland",IRL
109,"Isle of Man",IMN
110,"Israel",ISR
111,"Italy",ITA
112,"Jamaica",JAM
113,"Japan",JPN
114,"Jersey",JEY
115,"Jordan",JOR
116,"Kazakhstan",KAZ
117,"Kenya",KEN
118,"Kiribati",KIR
119,"Korea, Democratic People's Republic",PRK
120,"Korea, Republic of",KOR
121,"Kuwait",KWT
122,"Kyrgyzstan",KGZ
123,"Lao People's Democratic Republic",LAO
124,"Latvia",LVA
125,"Lebanon",LEB
126,"Lesotho",LSO
127,"Liberia",LBR
128,"Libyan Arab Jamahiriya",LBY
129,"Liechtenstein",LIE
130,"Lithuania",LTU
131,"Luxembourg",LUX
132,"Macao",MAC
133,"Macedonia, The Former Yugoslav Republic of",MKD
134,"Madagascar",MDG
135,"Malawi",MWI
136,"Malaysia",MYS
137,"Maldives",MDV
138,"Mali",MLI
139,"Malta",MLT
140,"Marshall Islands",MHL
141,"Martinique",MTQ
142,"Mauritania",MRT
143,"Mauritius",MUS
144,"Mayotte",MYT
145,"Mexico",MEX
146,"Micronesia, Federated States of",FSM
147,"Moldova, Republic of",MDA
148,"Monaco",MCO
149,"Mongolia",MNG
150,"Montenegro",MNE
151,"Montserrat",MSR
152,"Morocco",MAR
153,"Mozambique",MOZ
154,"Myanmar",MMR
155,"Namibia",NAM
156,"Nauru",NRU
157,"Nepal",NLP
158,"Netherlands",NLD
159,"Netherlands Antilles",ANT
160,"New Caledonia",NCL
161,"New Zealand",NZL
162,"Nicaragua",NIC
163,"Niger",NER
164,"Nigeria",NGA
165,"Niue",NIU
166,"Norfolk Island",NFK
167,"Northern Mariana Islands",MNP
168,"Norway",NOR
169,"Oman",OMN
